,ASX code,Company name,GICs industry group,Listing date,Market Cap
97,AHL.AX,ADRAD HOLDINGS LIMITED,Automobiles & Components,30/09/2022,70571799
98,AHN.AX,ATHENA RESOURCES LIMITED,Materials,22/11/2006,8563740
99,AHQ.AX,ALLEGIANCE COAL LIMITED,Materials,29/05/2012,SUSPENDED
100,AHX.AX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,15/12/2015,95402886
101,AIA.AX,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,22/02/1999,11368094778
102,AIB.AX,AURORA GLOBAL INCOME TRUST,Not Applic,24/12/2007,SUSPENDED
103,AII.AX,ALMONTY INDUSTRIES INC.,Materials,02/08/2021,144966831
104,AIM.AX,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services,15/09/2020,58309757
105,AIQ.AX,ALTERNATIVE INVESTMENT TRUST,Not Applic,08/05/2005,40843877
106,AIS.AX,AERIS RESOURCES LIMITED,Materials,02/02/2011,331653886
107,AIV.AX,ACTIVEX LIMITED,Materials,11/04/2006,4310052
108,AIZ.AX,AIR NEW ZEALAND LIMITED,Transportation,01/10/1997,2425294308
109,AJJ.AX,ASIAN AMERICAN MEDICAL GROUP LIMITED,Health Care Equipment & Services,19/03/2007,SUSPENDED
110,AJL.AX,AJ LUCAS GROUP LIMITED,Capital Goods,10/08/1999,17884485
111,AJQ.AX,ARMOUR ENERGY LIMITED,Energy,26/04/2012,14764026
112,AJX.AX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,22/12/1999,9119457
113,AJY.AX,ASAPLUS RESOURCES LIMITED,Materials,16/11/2012,2720000
114,AKE.AX,ALLKEM LIMITED,Materials,04/12/2007,10387450221
115,AKG.AX,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,01/06/1977,51056570
116,AKM.AX,ASPIRE MINING LIMITED,Materials,06/02/2007,36549863
117,AKN.AX,AUKING MINING LIMITED,Materials,29/10/2007,10205185
118,AKO.AX,AKORA RESOURCES LIMITED,Materials,15/12/2020,15672164
119,AKP.AX,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel,24/12/2004,399594168
120,AL3.AX,AML3D LIMITED,Capital Goods,20/04/2020,12940711
121,AL8.AX,ALDERAN RESOURCES LIMITED,Materials,09/06/2017,4316863
122,ALA.AX,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",24/01/2002,37395982
123,ALB.AX,ALBION RESOURCES LIMITED,Materials,30/04/2021,4699200
124,ALC.AX,ALCIDION GROUP LIMITED,Health Care Equipment & Services,24/06/2011,119198491
125,ALD.AX,AMPOL LIMITED,Energy,31/12/1980,7194340369
126,ALG.AX,ARDENT LEISURE GROUP LIMITED,Consumer Services,30/11/2018,223063297
127,ALI.AX,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic,03/07/2015,393115502
128,ALK.AX,ALKANE RESOURCES LIMITED,Materials,07/10/1980,418093951
129,ALL.AX,ARISTOCRAT LEISURE LIMITED,Consumer Services,09/07/1996,25183395204
130,ALM.AX,ALMA METALS LIMITED,Energy,18/04/2007,14352010
131,ALO.AX,ALLOGGIO GROUP LIMITED,Consumer Services,29/11/2021,46167905
132,ALQ.AX,ALS LIMITED,Commercial & Professional Services,18/07/1952,5422678061
133,ALT.AX,ANALYTICA LIMITED,Health Care Equipment & Services,25/10/2000,SUSPENDED
134,ALU.AX,ALTIUM LIMITED,Software & Services,04/08/1999,4726130854
135,ALV.AX,ALVO MINERALS LIMITED,Materials,20/10/2021,26801556
